phone ,function ,wrong ,mns ,iremotecontroldisplay ,privileg ,user ,thread ,correct ,applic ,app ,pair ,crash ,except ,broadcast ,disabl ,remotecontroldisplay ,format ,properti ,interfac ,gatt ,close ,ui ,switch ,length ,metadata ,field ,obex ,bluetoothopplauncheract ,insid ,object ,store ,anr ,review ,split ,connect ,call ,opp ,file ,content ,creat ,proper ,problem ,hal ,display ,prioriti ,attempt ,stress ,setpin ,setpairingconfirm ,clean ,resolv ,failur ,bluetooth ,method ,start ,event ,command ,remov ,updat ,test ,play ,notif ,support ,modifi ,caus ,need ,includ ,carkit ,open ,latest ,disconnect ,commit ,manag ,shutdown ,handler ,patch ,time ,debug ,request ,java ,uri ,remot ,stuck ,issu ,messag ,deathrecipi ,relea ,server ,unexpect ,headsetserv ,stat ,statemachin ,thrown ,avoid ,handlepandevicestatechang ,panserv ,androidruntim ,lang ,pan ,DV
0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,10.64385619,5.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862496476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567040593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.321928095,6.321928095,6.321928095,6.321928095,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
21.60964047,0,0,0,0,0,0,0,0,0,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567040593,0,0,0,0,0,0,0,0,3.736965594,0,9.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.321928095,6.321928095,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.321928095,4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.514573173,0,0,0,0,0,0,12.64385619,6.321928095,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,3.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.321928095,5.321928095,0,0,0,0,0,0,0,4.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862496476,0,0,0,0,0,0,0,0,0,21.28771238,5.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,4.736965594,0,0,0,0,3.736965594,7.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567040593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.473931188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64385619,0,0,0,0,0,0,0,0,0,0,0,0,8.64385619,0,0,0,0,0,0,0,0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,5.724992953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,3.736965594,4,0,5.321928095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.862496476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567040593,0,0,0,0,0,0,0,0,0,0,0,4.736965594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736965594,0,0,0,2.862496476,0,0,0,0,0,0,0,0,0,6.321928095,6.321928095,18.96578428,12.64385619,6.321928095,6.321928095,A
