npe ,dialog ,crash ,alert ,ad ,icsubcalendardenim ,resolv ,selectsyncedcalendarsmultiaccount ,issu ,layout ,DV
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.73264443,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.73264443,5.366322214,0,0,0,0,0,C
0,0,0,0,5.366322214,0,0,0,0,0,B
0,0,0,0,5.366322214,0,0,0,4.196397213,0,C
0,0,0,0,5.366322214,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.73264443,B
0,0,0,0,0,0,0,0,0,10.73264443,B
0,0,0,0,0,0,0,0,8.392794426,0,A
0,0,0,0,0,0,0,0,0,0,A
7.331764992,0,0,0,0,0,0,10.73264443,0,0,B
0,0,0,0,0,5.366322214,0,0,8.392794426,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,7.813781191,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,10.73264443,0,0,0,C
0,0,0,0,0,5.366322214,0,0,8.392794426,0,A
0,0,0,0,0,5.366322214,0,0,8.392794426,0,A
7.331764992,0,0,0,0,0,0,10.73264443,0,0,B
0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,A
