npe ,dialog ,crash ,alert ,ad ,icsubcalendardenim ,resolv ,selectsyncedcalendarsmultiaccount ,issu ,layout ,workaround ,result ,modifi ,add ,app ,commit ,allday ,gendermatch ,languag ,race ,condit ,field ,ux ,display ,calendar ,DV
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,4.558967292,0,0,0,0,0,0,0,0,0,3.558967292,C
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,0,7.117934584,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.73264443,0,0,0,0,0,0,0,0,0,9.117934584,0,0,0,0,0,0,0,0,0,0,3.558967292,B
0,0,0,0,0,0,0,0,0,0,0,0,0,4.558967292,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.73264443,5.366322214,0,0,0,0,0,0,0,0,0,9.117934584,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,5.366322214,0,0,0,4.196397213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,5.366322214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.781359714,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.558967292,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.73264443,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.73264443,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,8.392794426,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118394701,0,0,0,0,0,0,0,0,0,A
