npe ,dialog ,crash ,alert ,ad ,icsubcalendardenim ,resolv ,selectsyncedcalendarsmultiaccount ,issu ,layout ,workaround ,result ,modifi ,add ,app ,commit ,allday ,gendermatch ,languag ,race ,condit ,field ,ux ,display ,calendar ,gmail ,classcastexcept ,agenda ,bodi ,longclick ,stale ,label ,press ,backkey ,dayweek ,devic ,respons ,small ,save ,fix ,view ,addit ,solut ,spinner ,cancel ,attend ,minim ,chanc ,clearingreschedul ,listen ,DV
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,4.567684509,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,7.135369019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.75007886,0,0,0,0,0,0,0,0,0,9.135369019,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,10.75007886,5.375039431,0,0,0,0,0,0,0,0,0,9.135369019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375039431,0,0,0,0,0,0,0,0,B
0,0,0,0,5.375039431,0,0,0,4.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375039431,0,0,0,0,0,0,0,0,C
0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10622267,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10622267,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,9.135369019,0,9.135369019,3.349199426,0,0,0,0,0,0,0,0,0,0,A
7.349199426,0,0,0,0,0,0,10.75007886,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,5.375039431,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
0,0,7.831215625,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
