Doc,npe ,dialog ,crash ,alert ,ad ,icsubcalendardenim ,resolv ,selectsyncedcalendarsmultiaccount ,issu ,layout ,workaround ,result ,modifi ,add ,app ,commit ,allday ,gendermatch ,languag ,race ,condit ,field ,ux ,display ,calendar ,gmail ,classcastexcept ,agenda ,bodi ,longclick ,stale ,label ,press ,backkey ,dayweek ,devic ,respons ,small ,save ,fix ,view ,addit ,solut ,spinner ,cancel ,attend ,minim ,chanc ,clearingreschedul ,listen ,DV
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
2,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,4.567684509,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,7.135369019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
5,0,0,0,10.75007886,0,0,0,0,0,0,0,0,0,9.135369019,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,C
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
10,0,0,0,10.75007886,5.375039431,0,0,0,0,0,0,0,0,0,9.135369019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.053111336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
11,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375039431,0,0,0,0,0,0,0,0,C
12,0,0,0,0,5.375039431,0,0,0,4.20511443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.375039431,0,0,0,0,0,0,0,0,C
13,0,0,0,0,5.375039431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.790076931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
21,0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10622267,0,0,0,0,0,0,0,0,0,0,0,0,A
22,0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10622267,0,0,0,0,0,0,0,0,0,0,0,0,A
23,0,0,0,0,0,0,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,9.135369019,0,9.135369019,3.349199426,0,0,0,0,0,0,0,0,0,0,A
25,7.349199426,0,0,0,0,0,0,10.75007886,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
26,0,0,0,0,0,5.375039431,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,C
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
29,0,0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
32,0,0,7.831215625,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
34,0,0,0,0,0,0,10.75007886,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10622267,0,0,0,0,6.254223836,0,0,0,0,0,0,0,0,0,C
35,0,0,0,0,0,5.375039431,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75007886,12.75007886,0,0,0,0,0,0,C
36,0,0,0,0,0,5.375039431,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75007886,12.75007886,0,0,0,0,0,0,C
37,7.349199426,0,0,0,0,0,0,10.75007886,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
38,0,0,0,0,0,0,0,0,0,0,10.75007886,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,9.135369019,0,9.135369019,3.349199426,0,0,0,0,0,0,0,0,0,0,A
42,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
43,0,0,0,0,0,5.375039431,0,0,8.41022886,0,0,0,0,0,0,2.127111918,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,C
44,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.135369019,0,0,3.349199426,0,0,0,0,12.75007886,12.75007886,0,0,0,0,C
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
47,0,8.106222673,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
49,0,0,0,0,0,0,0,0,0,0,0,10.75007886,9.580153861,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,11.58015386,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
50,0,0,0,0,0,0,0,0,0,0,0,10.75007886,9.580153861,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58015386,11.58015386,11.58015386,0,0,0,0,3.349199426,6.254223836,0,0,0,0,0,0,0,0,0,A
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,11.58015386,11.58015386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75007886,12.75007886,12.75007886,0,C
52,0,0,7.831215625,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
53,7.349199426,0,0,0,0,0,0,10.75007886,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,B
54,0,0,7.831215625,0,0,0,0,0,0,0,0,0,0,0,0,2.127111918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.349199426,0,0,0,0,0,0,0,0,0,0,A
55,0,0,3.915607813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.254223836,0,0,0,0,0,0,0,0,0,B
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127111918,0,0,0,0,0,0,0,0,0,A
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.790076931,5.790076931,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75007886,C
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.127111918,0,0,0,0,0,0,0,0,0,B
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567684509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
