contact ,talk ,log ,call ,uri ,store ,item ,work ,action ,conversationlist ,cach ,outgo ,read ,verbos ,bunch ,contain ,mediametadataretriev ,master ,hide ,updat ,option ,bar ,file ,menu ,fix ,Meffort
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.078951341,0,0,0,0,B
16.92381774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.157902683,0,0,0,0,0,C
0,0,0,0,4.815916936,0,0,8.46190887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,7.631833871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,7.631833871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,5.078951341,0,8.157902683,0,0,0,0,9.187049028,0,0,5.815916936,5.815916936,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,3.815916936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,3.941447818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,5.078951341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,5.815916936,0,0,0,0,0,0,0,0,0,0,0,0,0,C
4.230954435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,7.631833871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,7.631833871,0,0,0,0,0,0,0,0,0,0,11.63183387,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63183387,0,0,0,0,0,0,0,0,0,0,C
0,0,7.631833871,0,0,0,0,0,0,0,0,0,0,11.63183387,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,4.593524514,0,0,0,0,0,0,0,0,0,0,0,0,5.078951341,0,0,0,B
0,0,0,0,4.815916936,0,0,8.46190887,0,0,0,0,0,0,0,5.815916936,0,0,0,8.157902683,0,5.078951341,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.815916936,0,0,0,0,0,0,0,0,0,0,C
0,0,3.815916936,0,0,0,0,0,0,0,0,0,0,5.815916936,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,4.815916936,0,0,0,4.593524514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,4.815916936,0,0,0,4.593524514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.15790268,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
